feature_set,label,estimator,calibration,auc,auc_pr,log_loss,brier,brier_skill,ece,cal_slope,cal_intercept,std,p5,p25,p50,p75,p95,range_5_95,player_discrimination,stability,icc,stability_temporal,topk_overlap_temporal
xcrossot,success,xgboost,sigmoid,0.8440209196648722,0.7250873065048656,0.46453885852818144,0.15372068965210536,0.32354239928899065,0.033048577507469264,1.0926895729696786,0.03730761937074349,0.2624485715039548,0.06532042859413083,0.09179325196020323,0.28670948777401534,0.5637758440752471,0.8298457195847276,0.7645252909905969,0.05683296653623794,0.2936195210622863,0.021028820005051116,0.17842951435649326,0.06666666666666667
xcrossot,success,adaboost,isotonic,0.8097570452990459,0.655606907420149,0.49611957218516584,0.16740489096964709,0.26332420737311857,0.0051161828464251005,0.9982994811536927,0.007345583259915009,0.24313671955730629,0.005272012647028964,0.10258983180428134,0.3593647156864985,0.5454882404474696,0.7363937956556477,0.7311217830086187,0.0554118429317306,0.3417987042856113,0.025979135065427657,0.18562577241314335,0.13333333333333333
xcrossot,success,adaboost,sigmoid,0.8098835411744962,0.6562290413962435,0.49356593495228457,0.16742042375996863,0.2632558543485709,0.010520414651129614,1.0478556293663295,0.022053545184591353,0.24001232784190454,0.013581350505127512,0.11592078930616105,0.35417259381663085,0.5340909184561052,0.7495943359202634,0.7360129854151358,0.054391160342446565,0.3394904705693274,0.02534259083112451,0.1781995222815214,0.13333333333333333
xcrossot,success,catboost,isotonic,0.8382530530704981,0.7127940716018668,0.46421730150635915,0.1549734407724854,0.3180295888852761,0.006593153039639457,1.0144018767689134,0.002312288190097933,0.26569763310943634,0.0056022408963585435,0.07862120852142235,0.34947673685537767,0.5628599201345102,0.7809524359637141,0.7753501950673556,0.05941483494746382,0.3544593523644848,0.024272328104163667,0.2017363016165949,0.13333333333333333
xcrossot,success,catboost,sigmoid,0.8386744962110944,0.7138025201217604,0.47004872951126697,0.15619965040634712,0.31263357596881014,0.034082274876961305,1.0544167274796235,0.01878770893900432,0.2639276737209794,0.05714177669663258,0.09412459442270416,0.2885087005665295,0.564858115809641,0.8309412829208518,0.7737995062242192,0.05890176882166674,0.3305734284336709,0.023750409549851827,0.17891720839498784,0.06666666666666667
xcrossot,success,lightgbm,isotonic,0.8426195732155998,0.7224706658939621,0.45855119003468287,0.1530234085329721,0.3266108288799421,0.009912262930633416,1.059419412169347,0.009204395691676663,0.2644770154148535,0.002564102564102564,0.07817047503349385,0.35317750649181723,0.5569947103221895,0.7822936100312919,0.7797295074671894,0.058355712965936744,0.31201057409347105,0.022929236125010778,0.18678404575456797,0.06666666666666667
xcrossot,success,lightgbm,sigmoid,0.843813304416302,0.7246254753033975,0.4637526956439027,0.15356073587785676,0.32424628597202443,0.026167828189599958,1.09987965627213,0.03312007239080527,0.26182974735381487,0.061735458170768066,0.09029964651067228,0.2957928071555636,0.5652760920710124,0.8255301937912206,0.7637947356204525,0.05771536449512813,0.30357014204088867,0.022652354247895485,0.17344727639505433,0.06666666666666667
xcrossot,success,histgb,isotonic,0.8420975336612319,0.7212771301761773,0.46217344933549326,0.15330004324412286,0.3253934803668569,0.011866834011719842,1.0528315569313662,0.00862251217123099,0.2640346457041292,0.0029112081513828236,0.08013258700495728,0.35109873263600644,0.5618681887126612,0.7782364925782279,0.7753252844268451,0.05853904639531593,0.30920910436098226,0.023358135132118388,0.17525119013971327,0.2
xcrossot,success,histgb,sigmoid,0.8432632998980159,0.7238734665668771,0.4558025542107193,0.1528462259991102,0.3273905318074749,0.015206934105310325,1.1057000304947304,0.023566727658411377,0.2614855898225002,0.007030751649258354,0.0843239649002649,0.3462450405414224,0.5582810847358748,0.7908946077960192,0.7838638561467608,0.05797430549061026,0.31174455916338306,0.023379304863007128,0.1796182685753238,0.13333333333333333
xcrossot,success,random_forest,isotonic,0.8194983250067774,0.6853435745919041,0.4881170281780126,0.16291305129697467,0.283090831466669,0.006134508878828235,0.9769030579364064,-0.0034926640318182923,0.25460702738357,0.005791677804508598,0.11193568810056266,0.3478441897543995,0.5403995027405776,0.7696556566111967,0.7638639788066881,0.0627204178216327,0.411106677528943,0.03434275748396549,0.2709722291496944,0.2
xcrossot,success,random_forest,sigmoid,0.8202640292784941,0.6869620781664558,0.48592759953314274,0.16330383934156192,0.28137114400217544,0.025691500368380388,1.024858562564347,0.013188518119343445,0.2537947604846242,0.03655446280090492,0.10371800129027636,0.31513209536310294,0.5582221551608036,0.7956046202964335,0.7590501574955286,0.06332550687968322,0.42009853636368677,0.035759704583289,0.28621266785264987,0.2
xcrossot,success,logreg,isotonic,0.8215298432800175,0.6738777712725553,0.48593414973989707,0.1625851417015876,0.2845338183453231,0.007733946462434584,0.994206083534932,-0.0005459419770297829,0.2540395001291597,0.004167572660723345,0.10824972129319956,0.3458515821455675,0.5725336150172752,0.7589464464464465,0.7547788737857232,0.054510542873009826,0.23200658386951967,0.020074818135955522,0.17841288842336275,0.13333333333333333
