feature,importance,importance_std
zone_ratio,-0.026965581385975563,0.0002143411159853708
gk_distance_off_line,-0.02707844674727374,0.0007389757410932755
cross_region_byline_halfspace,-0.02710101981953328,0.000731209415927524
entropy_diff_around,-0.02713971651483556,0.00045254273641572447
marking_max_attacker_gap_in_box,-0.027142941239444125,0.0012794315858319276
gk_lateral_speed,-0.027194536833180367,0.0006681174923787278
entropy_defense_in_center_box,-0.02720098628239735,0.0024220622958084624
entropy_defense_sum,-0.027204211007005947,0.0002891842700700693
marking_mean_gap_in_box,-0.02722033463004847,0.0005851609123243205
entropy_attack_around,-0.02729127857143591,0.0012264047834413844
pitch_control_grad_towards_goal,-0.027442840628036296,0.001122565497143329
entropy_diff_in_center_box,-0.02746218897568738,0.0013357601861622836
swing_cutback,-0.027500885670989666,0.000668568707653022
entropy_diff_in_second_post,-0.02751378456942377,0.0018789051018294398
entropy_defense_grad_towards_goal,-0.027523458743249202,0.0008251389133852018
entropy_defense_in_second_post,-0.027536357641683384,0.00018714519165892113
temporal_attackers_in_box_delta,-0.02754603181550889,0.00040710791221360465
end_x,-0.027626649930721874,0.0016469410807612463
flight_launch_angle,-0.027684694973675206,0.0009337791344562115
defenders_near_action_line,-0.027723391668977377,0.0008622505980634958
swing_curl_magnitude,-0.027771762538105243,0.00014478977582130183
entropy_diff_in_zone,-0.02780723450879889,0.0009518565534336532
gk_ball_distance,-0.02784270647949257,0.0002437601732188368
cross_region_byline_touchline,-0.027939448217748113,0.0004506083906055414
pressure_crosser_def_within_3m,-0.02795557184079067,0.0003029525367375632
entropy_general_in_second_post,-0.02803296523139513,0.0008118624467167366
pitch_control_in_first_post,-0.02803941468061218,0.0007651096616769188
cross_region_deep_halfspace,-0.028123257520433726,0.00010001846102774177
entropy_attack_in_second_post,-0.02817485311416997,0.0011970549557353044
marking_free_attackers_in_box,-0.02821677453408078,0.0003464741123897494
entropy_defense_around,-0.028268370127817022,0.0006832155772298921
flight_loftiness,-0.02830384209851074,0.0009147424597141697
pressure_crosser_nearest_def,-0.028407033285983336,0.00012245464454540555
cross_region_mid_touchline,-0.028506999748847368,0.0002224358842320896
cross_region_deep_touchline,-0.028516673922672986,0.0005055315105194772
entropy_general_in_center_box,-0.02856182006719214,0.002774507777726315
pocket_goal_angle_in_box,-0.028577943690234735,0.000349015923494014
gk_present,-0.028613415660928454,0.0
flight_bounce_count,-0.028613415660928454,0.0
shape_block_width,-0.02862631455936256,0.00037958720866706125
start_y,-0.02884559583274182,0.0007558660931756877
shape_last_line_to_gk_gap,-0.02899070844012519,0.00047923791024307783
shape_line_height,-0.029171293018202205,0.00037420702552375134
entropy_defense_in_first_post,-0.029200315539678872,0.0003002978801130647
entropy_general_around,-0.029235787510372518,0.000714594898674272
entropy_general_in_first_post,-0.029729170375475844,0.0006556270388179763
entropy_attack_in_center_box,-0.03023545213901324,0.0015052453520298461
entropy_attack_in_first_post,-0.030715936105682535,0.000685631357865305
