estimator,feature_set,label,calibration,auc,auc_lo,auc_hi,stability,stability_lo,stability_hi
catboost,xcrossot,success,isotonic,0.8401245502394883,0.832757604667368,0.8461825689496884,0.2617753171396745,0.15319003164469275,0.35378080646859644
catboost,xcrossot,success,sigmoid,0.8405098159953699,0.8330104852304696,0.8469277686884386,0.26098142883269326,0.15840849640602747,0.35780698400031036
lightgbm,xcrossot,success,isotonic,0.8427346509781704,0.8358130026339505,0.8492336898306213,0.243425828941316,0.13784962951879007,0.3379319971625074
lightgbm,xcrossot,success,sigmoid,0.8439669422400164,0.8371255846016118,0.8503729605746203,0.2486145055724586,0.14460211371029866,0.3471454658309365
histgb,xcrossot,success,isotonic,0.8421615462235776,0.8353434154558739,0.8486516823349509,0.2505209459047556,0.14008457057985713,0.3382828736262823
histgb,xcrossot,success,sigmoid,0.8433739952369028,0.8364203228678962,0.8498295322725951,0.24824180757144998,0.14193171175065536,0.33472637870550487
random_forest,xcrossot,success,isotonic,0.819936883325956,0.8120457661029685,0.8266645334367211,0.34489389883673893,0.22688517299283423,0.4386000825754679
random_forest,xcrossot,success,sigmoid,0.8206322504987453,0.812624573043511,0.8271416020387294,0.3559196634911134,0.2384778819669587,0.4439012613541269
logreg,xcrossot,success,isotonic,0.821859503086806,0.8137603193884528,0.8288756942791858,0.2004824291596699,0.09556149932664972,0.31614142572918574
logreg,xcrossot,success,sigmoid,0.8231944624197287,0.8149061321371376,0.8301343940316842,0.1922179548993854,0.10038669149472682,0.3180787625872169
tabpfn,xcrossot,success,isotonic,0.849224425560935,0.8423311483175071,0.855511219090449,0.26228240810015463,0.1478189546721643,0.3608332502036677
tabpfn,xcrossot,success,sigmoid,0.8499787715222573,0.8430286287367892,0.8563234858019932,0.2708115117960996,0.15698462378284314,0.3760113416573839
xgboost,xcrossot,shot,isotonic,0.7682105377458366,0.7590996292988955,0.7774905414942777,0.2453294982847579,0.14599564400551981,0.3513074218165495
xgboost,xcrossot,shot,sigmoid,0.7687043368875501,0.7595201688753838,0.7782619949258267,0.2189967911949058,0.12212399066730956,0.34192249821271214
adaboost,xcrossot,shot,isotonic,0.7266996850230847,0.718014276490602,0.7362862657504406,0.3635856041587,0.24897258660725669,0.45140655394284007
adaboost,xcrossot,shot,sigmoid,0.7268356086622321,0.7181963095047881,0.7363452582842852,0.35968128086188844,0.2487254144013833,0.45248509207995974
